Neighborhood,Month,Day,Shift,Category 1,Category 2,Category 3,Category 4
Adamsville,4,3,Day,0,0,0,0
Adamsville,4,3,Evening,0,1,2,1
Adamsville,4,4,Morning,0,1,0,0
Adamsville,4,4,Day,0,2,1,0
Adamsville,4,4,Evening,0,0,2,1
Adamsville,4,5,Morning,0,1,0,1
Adamsville,4,5,Day,0,0,1,1
Adamsville,4,5,Evening,0,1,1,2
Adamsville,4,6,Morning,0,0,1,0
Adamsville,4,6,Day,0,0,1,0
Adamsville,4,6,Evening,0,1,2,2
Adamsville,5,0,Morning,0,1,1,3
Adamsville,5,0,Day,0,0,0,1
Adamsville,5,0,Evening,0,0,0,1
Adamsville,5,1,Morning,0,2,0,0
Adamsville,5,1,Day,0,0,3,1
Adamsville,5,1,Evening,0,0,0,0
Adamsville,5,2,Morning,0,0,1,0
Adamsville,5,2,Day,0,1,0,2
Adamsville,5,2,Evening,0,0,1,1
Adamsville,5,3,Morning,0,0,1,1
Adamsville,5,3,Day,0,0,0,1
Adamsville,5,3,Evening,0,0,0,1
Adamsville,5,4,Morning,0,0,0,0
Adamsville,5,4,Day,0,1,0,1
Adamsville,5,4,Evening,0,0,1,1
Adamsville,5,5,Morning,0,0,1,1
Adamsville,5,5,Day,0,0,0,0
Adamsville,5,5,Evening,0,2,2,1
Adamsville,5,6,Morning,0,1,0,1
Adamsville,5,6,Day,0,0,2,1
Adamsville,5,6,Evening,0,2,4,2
Adamsville,6,0,Morning,0,0,1,2
Adamsville,6,0,Day,0,0,0,0
Adamsville,6,0,Evening,0,0,0,0
Adamsville,6,1,Morning,0,0,0,0
Adamsville,6,1,Day,0,0,1,1
Adamsville,6,1,Evening,0,0,0,1
Adamsville,6,2,Morning,0,0,0,0
Adamsville,6,2,Day,0,1,1,0
Adamsville,6,2,Evening,0,0,0,3
Adamsville,6,3,Morning,0,0,0,0
Adamsville,6,3,Day,0,0,0,2
Adamsville,6,3,Evening,0,0,0,2
Adamsville,6,4,Morning,0,1,0,0
Adamsville,6,4,Day,0,0,1,0
Adamsville,6,4,Evening,0,0,0,2
Adamsville,6,5,Morning,0,0,0,0
Adamsville,6,5,Day,0,0,0,1
Adamsville,6,5,Evening,0,0,0,2
Adamsville,6,6,Morning,0,0,0,0
Adamsville,6,6,Day,0,0,0,1
Adamsville,6,6,Evening,0,0,2,6
Adamsville,7,0,Morning,0,1,1,4
Adamsville,7,0,Day,0,0,1,1
